,position,user,first_genre,genre_label,track_name,track_id,artist,duration_ms,gender,age,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,key,mode
3575,36,e873f35842484d38b61cbd8d81f02f66_Hannah,4,Rock & Heavy,Lonely Day,1VNWaY3uNfoeWqb5U8x2QX,System Of A Down,167906,F,20,0.5940482336531049,0.08223092492965674,-0.574676685005967,0.824324117861122,-0.5284780211740089,-0.2716048212117256,0.7426049825726055,-0.6217607666169818,-0.31367403469369926,-0.9360315189828035,8.0,0.0
3576,37,e873f35842484d38b61cbd8d81f02f66_Hannah,4,Rock & Heavy,Teeth,3NxWJWftvkstyxvb1pZlFo,5 Seconds of Summer,205502,F,20,0.5285042117893397,-0.774109151747836,0.8551002972505122,-0.41909083373391076,-0.528471316511533,-0.7145925956794368,0.7776140623755704,-0.5358383247443828,0.5515043846358044,-0.06694972137405182,3.0,0.0
3577,38,e873f35842484d38b61cbd8d81f02f66_Hannah,4,Rock & Heavy,The End of Heartache,2nUy0ifVE7UwtOK4rugFsP,Killswitch Engage,298106,F,20,-0.45465611616713886,-0.862083768484732,0.15840896771462776,0.7806955230683139,-0.5284811330426685,-0.27912583605837604,0.6106291731435594,-0.21209483840298274,-0.051204177144299264,0.4383303935147575,4.0,0.0
3578,39,e873f35842484d38b61cbd8d81f02f66_Hannah,4,Rock & Heavy,Ride,2Z8WuEywRWYTKe1NybPQEW,Twenty One Pilots,214506,F,20,0.6595922555168702,-0.869213209902248,0.3351813946117926,0.5225596705441986,-0.5284811330426685,-0.4220251181447345,0.49260887318923446,-0.5343039954252291,-1.5870720873760944,0.4827950436249723,6.0,1.0
3579,40,e873f35842484d38b61cbd8d81f02f66_Hannah,4,Rock & Heavy,Die With A Smile,7so0lgd0zP2Sbgs2d7a1SZ,"Lady Gaga, Bruno Mars",251667,F,20,0.8562243211081658,-0.11416500845852103,-0.31991642271299414,0.11535945247798914,-0.5284811330426685,-0.3242519251382787,0.20724276565441432,-0.6509130236808993,1.18477931012441,0.20792266112546035,6.0,0.0
3580,41,e873f35842484d38b61cbd8d81f02f66_Hannah,4,Rock & Heavy,Beautiful Things,3xkHsmpQCBMytMJNiDf3Ii,Benson Boone,180304,F,20,0.9873123648356963,-0.4854340332197337,-0.5642783069531926,-0.3572836577774327,-0.5284811330426685,-0.21895771728517244,0.4520657120428456,-0.21209483840298274,-0.5835599936018836,-0.9198625553063615,10.0,1.0
3581,42,e873f35842484d38b61cbd8d81f02f66_Hannah,4,Rock & Heavy,SUPERMODEL,0eJmsdfbAOM1KD0w50EhlD,Måneskin,148064,F,20,-0.3891120943033736,-0.8874000114050438,0.2779903153215334,1.118817132712577,-0.5284811330426685,-0.3768990290648319,0.7262433507746564,-0.2934142923181211,-0.051204177144299264,1.4327216596159338,7.0,1.0
3582,43,e873f35842484d38b61cbd8d81f02f66_Hannah,4,Rock & Heavy,Last Resort,5W8YXBz9MTIDyrpYaCg2Ky,Papa Roach,199906,F,20,0.5940482336531049,-0.8903836153793929,0.04402680913410934,1.1660814437381193,-0.5261613764054498,0.23982418836050465,0.6894296792292708,-0.21669782636044344,-1.0660408581285457,0.9719061948373399,4.0,0.0
3583,44,e873f35842484d38b61cbd8d81f02f66_Hannah,4,Rock & Heavy,LET THE WORLD BURN,0YVh3SyU4dS7jOWIFQ1tTf,Chris Grey,163290,F,20,0.3974161680618092,-0.5473122040132691,-1.058201264459976,-0.04461206176230721,-0.5284811330426685,-0.045974375812212274,0.30264551577039767,-0.6601189995958205,-0.989073752134678,-0.8026375686521579,5.0,0.0
3584,45,e873f35842484d38b61cbd8d81f02f66_Hannah,4,Rock & Heavy,Enemy (with JID) - from the series Arcane League of Legends,3CIyK1V4JEJkg02E4EJnDl,"Imagine Dragons, JID, Arcane, League of Legends",173381,F,20,0.3974161680618092,-0.25406348155694897,0.7667140838019297,0.7770598068355798,-0.5284811330426685,1.992220647630058,0.6046138673354897,2.944020571095879,-1.5195254344596014,0.4383303935147575,11.0,0.0
